Company Name,Tags,Phone,Address
Allegion (HK) Ltd,鎖─批發及製造, 2235 0600,"Siu On Centre, Wan Chai"
Cheung On Lock ( Group ) Ltd,鎖─批發及製造, 2690 4219,"Leader Ind Centre, Sha Tin"
Elegant Enterprises Ltd,鎖─批發及製造, 2750 3145,"Metro Centre, Kowloon Bay"
四海(香港)工業公司,鎖─批發及製造, 2362 9765,九龍灣 業安工廠大廈
佳滔發展有限公司,鎖─批發及製造, 2889 8850,觀塘 凱源工業大廈
亞洲環保發展有限公司,舊衣回收, 2472 0809,流浮山 虎草村
香港回收有限公司,舊衣回收, 2897 9869,粉嶺 軍地北村
Garron Holdings Ltd,環境管理顧問, 2553 6000,"Tai Sang Bank Bldg, Sheung Wan"
Reset Carbon Ltd,環境管理顧問, 2815 1999,"Fu Fai Coml Centre, Sheung Wan"
生態系統顧問有限公司,環境管理顧問, 2553 0468,油塘 油塘工業城
建環保有限公司,環境管理顧問, 2675 8866,大埔林村 
Tianjin Capital Enviromental Protection Group Co Ltd,環境管理顧問, 2522 3377,"World Wide Hse, Central District"
兆豐科技設備有限公司,環境管理顧問, 2511 0838,沙田 世紀工業中心
Aerotech Ind Co Ltd,環境染污處理設備及服務, 2421 3970,"Park Sun Fty Bldg, Kwai Chung"
ECO Resources Group Ltd,環境染污處理設備及服務, 2494 8338,西貢 Kai Ham Tsuen
Prominent Internatl (Environmental) Ltd,環境染污處理設備及服務, 2676 2545,"Hong Leong Plaza, Fanling"
成功化糞池服務公司,環境染污處理設備及服務, 2470 2418,屯門 定福樓
保榮工程公司,環境染污處理設備及服務, 2517 8903,上水 
瑞典榮生環保科技有限公司,環境染污處理設備及服務, 2861 3636,沙田 匯達大廈
德建國際有限公司,環境染污處理設備及服務, 2518 8330,長沙灣 西頓中心
衡睿有限公司,環境染污處理設備及服務, 2631 2275,葵涌 華基工業大廈
協昌工程公司,工程師─消防, 2416 2188,荃灣 青山公路264-298號南豐中心1204室
高力消防工程有限公司,工程師─消防, 2332 7263,油麻地 翠玉樓
港消集團有限公司,工程師─消防, 2381 2718,旺角 廣東道1152號兆豐大廈閣樓
萬力工程貿易有限公司,工程師─消防, 2380 1211,沙田 群力工業大廈
裕德工程有限公司,工程師─消防, 2423 1028,葵涌 盈業大廈
Elite Engrg Servs Ltd,工程師─消防, 2645 1218,"Ho King Coml Centre, Mong Kok"
Great Wall Engrg,工程師─消防, 2637 9909,"Ngai Sheung Fty Bldg, Tai Kok Tsui"
